Gene stable ID	Mouse gene stable ID
MGP_BALBcJ_G0009451	ENSMUSG00000087872
MGP_BALBcJ_G0003825	
MGP_BALBcJ_G0003319	
MGP_BALBcJ_G0013868	
MGP_BALBcJ_G0034178	ENSMUSG00000031819
MGP_BALBcJ_G0023422	ENSMUSG00000024008
MGP_BALBcJ_G0037211	ENSMUSG00000094452
MGP_BALBcJ_G0018572	ENSMUSG00000020803
MGP_BALBcJ_G0019109	ENSMUSG00000019173
MGP_BALBcJ_G0002540	ENSMUSG00000094525
MGP_BALBcJ_G0026109	ENSMUSG00000002102
MGP_BALBcJ_G0031245	ENSMUSG00000030125
MGP_BALBcJ_G0018261	ENSMUSG00000018339
MGP_BALBcJ_G0016233	ENSMUSG00000048126
MGP_BALBcJ_G0016529	ENSMUSG00000032649
MGP_BALBcJ_G0023914	ENSMUSG00000079414
MGP_BALBcJ_G0013880	
MGP_BALBcJ_G0027479	ENSMUSG00000103523
MGP_BALBcJ_G0001227	
MGP_BALBcJ_G0000332	
MGP_BALBcJ_G0038077	ENSMUSG00000087878
MGP_BALBcJ_G0008526	ENSMUSG00000098299
MGP_BALBcJ_G0008274	ENSMUSG00000105138
MGP_BALBcJ_G0000544	
MGP_BALBcJ_G0036809	ENSMUSG00000105450
MGP_BALBcJ_G0033479	ENSMUSG00000031488
MGP_BALBcJ_G0000489	
MGP_BALBcJ_G0035190	ENSMUSG00000043719
MGP_BALBcJ_G0025467	ENSMUSG00000036186
MGP_BALBcJ_G0034929	ENSMUSG00000054978
MGP_BALBcJ_G0022053	ENSMUSG00000022421
MGP_BALBcJ_G0039123	ENSMUSG00000077174
MGP_BALBcJ_G0038012	ENSMUSG00000084469
MGP_BALBcJ_G0019606	ENSMUSG00000020651
MGP_BALBcJ_G0001091	
MGP_BALBcJ_G0004260	
MGP_BALBcJ_G0007192	ENSMUSG00000108803
MGP_BALBcJ_G0034152	ENSMUSG00000031841
MGP_BALBcJ_G0035901	ENSMUSG00000047694
MGP_BALBcJ_G0003564	
MGP_BALBcJ_G0025564	ENSMUSG00000043102
MGP_BALBcJ_G0015726	ENSMUSG00000084875
MGP_BALBcJ_G0028966	ENSMUSG00000028763
MGP_BALBcJ_G0035224	ENSMUSG00000037977
MGP_BALBcJ_G0026860	ENSMUSG00000017740
MGP_BALBcJ_G0026159	ENSMUSG00000032864
MGP_BALBcJ_G0033935	ENSMUSG00000031770
MGP_BALBcJ_G0030014	ENSMUSG00000042594
MGP_BALBcJ_G0012864	
MGP_BALBcJ_G0000292	
MGP_BALBcJ_G0032355	ENSMUSG00000042659
MGP_BALBcJ_G0025726	ENSMUSG00000026989
MGP_BALBcJ_G0022500	ENSMUSG00000022683
MGP_BALBcJ_G0029933	ENSMUSG00000029545
MGP_BALBcJ_G0040402	
MGP_BALBcJ_G0016769	ENSMUSG00000066671
MGP_BALBcJ_G0032917	ENSMUSG00000051900
MGP_BALBcJ_G0023321	ENSMUSG00000050824
MGP_BALBcJ_G0015298	ENSMUSG00000097430
MGP_BALBcJ_G0018313	ENSMUSG00000056959
MGP_BALBcJ_G0007124	ENSMUSG00000108711
MGP_BALBcJ_G0000528	
MGP_BALBcJ_G0008486	ENSMUSG00000105927
MGP_BALBcJ_G0003405	
MGP_BALBcJ_G0010878	
MGP_BALBcJ_G0005100	ENSMUSG00000056821
MGP_BALBcJ_G0002462	ENSMUSG00000076485
MGP_BALBcJ_G0023561	ENSMUSG00000092511
MGP_BALBcJ_G0023002	ENSMUSG00000022973
MGP_BALBcJ_G0020836	ENSMUSG00000021639
MGP_BALBcJ_G0008868	ENSMUSG00000070075
MGP_BALBcJ_G0034927	ENSMUSG00000041837
MGP_BALBcJ_G0021041	ENSMUSG00000040717
MGP_BALBcJ_G0009726	ENSMUSG00000088118
MGP_BALBcJ_G0002125	
MGP_BALBcJ_G0028279	ENSMUSG00000028412
MGP_BALBcJ_G0006597	ENSMUSG00000104691
MGP_BALBcJ_G0023854	ENSMUSG00000023943
MGP_BALBcJ_G0030722	ENSMUSG00000079560
MGP_BALBcJ_G0019689	ENSMUSG00000063129
MGP_BALBcJ_G0010931	
MGP_BALBcJ_G0002528	ENSMUSG00000076865
MGP_BALBcJ_G0040146	
MGP_BALBcJ_G0002031	
MGP_BALBcJ_G0013793	
MGP_BALBcJ_G0037080	ENSMUSG00000103669
MGP_BALBcJ_G0005594	
MGP_BALBcJ_G0004442	
MGP_BALBcJ_G0040470	
MGP_BALBcJ_G0008469	ENSMUSG00000095699
MGP_BALBcJ_G0037667	ENSMUSG00000075908
MGP_BALBcJ_G0005866	ENSMUSG00000086904
MGP_BALBcJ_G0000376	
MGP_BALBcJ_G0037447	ENSMUSG00000096731
MGP_BALBcJ_G0020831	ENSMUSG00000049658
MGP_BALBcJ_G0006064	ENSMUSG00000084818
MGP_BALBcJ_G0010663	
MGP_BALBcJ_G0030323	ENSMUSG00000029613
MGP_BALBcJ_G0013800	
MGP_BALBcJ_G0023158	ENSMUSG00000079698
MGP_BALBcJ_G0007852	ENSMUSG00000098863
MGP_BALBcJ_G0000896	
MGP_BALBcJ_G0040176	
MGP_BALBcJ_G0034642	ENSMUSG00000054360
MGP_BALBcJ_G0011398	
MGP_BALBcJ_G0004301	
MGP_BALBcJ_G0031551	ENSMUSG00000035285
MGP_BALBcJ_G0028541	ENSMUSG00000034557
MGP_BALBcJ_G0030517	ENSMUSG00000039159
MGP_BALBcJ_G0033754	ENSMUSG00000003033
MGP_BALBcJ_G0015162	ENSMUSG00000043993
MGP_BALBcJ_G0009058	ENSMUSG00000093142
MGP_BALBcJ_G0035122	ENSMUSG00000046997
MGP_BALBcJ_G0017975	ENSMUSG00000020427
MGP_BALBcJ_G0039246	ENSMUSG00000094386
MGP_BALBcJ_G0039222	ENSMUSG00000077171
MGP_BALBcJ_G0027530	ENSMUSG00000068876
MGP_BALBcJ_G0005623	ENSMUSG00000097621
MGP_BALBcJ_G0019813	ENSMUSG00000046157
MGP_BALBcJ_G0001215	
MGP_BALBcJ_G0004073	
MGP_BALBcJ_G0015433	ENSMUSG00000086823
MGP_BALBcJ_G0016040	ENSMUSG00000067299
MGP_BALBcJ_G0002075	
MGP_BALBcJ_G0023839	ENSMUSG00000064120
MGP_BALBcJ_G0012380	
MGP_BALBcJ_G0003208	
MGP_BALBcJ_G0001760	
MGP_BALBcJ_G0031302	ENSMUSG00000108011
MGP_BALBcJ_G0026262	ENSMUSG00000096764
MGP_BALBcJ_G0032314	
MGP_BALBcJ_G0024343	ENSMUSG00000034339
MGP_BALBcJ_G0017224	ENSMUSG00000020087
MGP_BALBcJ_G0036648	ENSMUSG00000065823
MGP_BALBcJ_G0001347	
MGP_BALBcJ_G0007745	ENSMUSG00000098957
MGP_BALBcJ_G0012405	
MGP_BALBcJ_G0027754	ENSMUSG00000040389
MGP_BALBcJ_G0014306	
MGP_BALBcJ_G0006619	ENSMUSG00000106219
MGP_BALBcJ_G0033991	ENSMUSG00000031879
MGP_BALBcJ_G0034483	ENSMUSG00000031994
MGP_BALBcJ_G0026356	ENSMUSG00000027259
MGP_BALBcJ_G0015432	ENSMUSG00000085322
MGP_BALBcJ_G0001183	
MGP_BALBcJ_G0000550	
MGP_BALBcJ_G0000386	
MGP_BALBcJ_G0031128	ENSMUSG00000000440
MGP_BALBcJ_G0014342	
MGP_BALBcJ_G0040329	
MGP_BALBcJ_G0006829	ENSMUSG00000106820
MGP_BALBcJ_G0018374	ENSMUSG00000019102
MGP_BALBcJ_G0009768	ENSMUSG00000098674
MGP_BALBcJ_G0032460	ENSMUSG00000055610
MGP_BALBcJ_G0002444	ENSMUSG00000076916
MGP_BALBcJ_G0040128	
MGP_BALBcJ_G0027873	ENSMUSG00000045328
MGP_BALBcJ_G0013309	
MGP_BALBcJ_G0000957	
MGP_BALBcJ_G0012535	
MGP_BALBcJ_G0005337	
MGP_BALBcJ_G0015427	ENSMUSG00000100943
MGP_BALBcJ_G0003284	
MGP_BALBcJ_G0035580	ENSMUSG00000101818
MGP_BALBcJ_G0026293	ENSMUSG00000078137
MGP_BALBcJ_G0015993	ENSMUSG00000026032
MGP_BALBcJ_G0009703	ENSMUSG00000098355
MGP_BALBcJ_G0008980	ENSMUSG00000092856
MGP_BALBcJ_G0038511	ENSMUSG00000089313
MGP_BALBcJ_G0021082	ENSMUSG00000021890
MGP_BALBcJ_G0025984	ENSMUSG00000075156
MGP_BALBcJ_G0012463	
MGP_BALBcJ_G0010742	
MGP_BALBcJ_G0003328	
MGP_BALBcJ_G0021318	ENSMUSG00000002325
MGP_BALBcJ_G0008858	ENSMUSG00000092956
MGP_BALBcJ_G0009991	
MGP_BALBcJ_G0025044	ENSMUSG00000024803
MGP_BALBcJ_G0038703	ENSMUSG00000077261
MGP_BALBcJ_G0035008	ENSMUSG00000033590
MGP_BALBcJ_G0023436	ENSMUSG00000043557
MGP_BALBcJ_G0022765	
MGP_BALBcJ_G0006353	ENSMUSG00000085027
MGP_BALBcJ_G0013740	
MGP_BALBcJ_G0028495	ENSMUSG00000078612
MGP_BALBcJ_G0012856	
MGP_BALBcJ_G0008822	ENSMUSG00000098454
MGP_BALBcJ_G0007537	ENSMUSG00000096978
MGP_BALBcJ_G0006220	ENSMUSG00000085121
MGP_BALBcJ_G0005118	ENSMUSG00000097082
MGP_BALBcJ_G0032768	ENSMUSG00000069390
MGP_BALBcJ_G0027492	ENSMUSG00000068887
MGP_BALBcJ_G0018223	ENSMUSG00000000782
MGP_BALBcJ_G0014340	
MGP_BALBcJ_G0008857	ENSMUSG00000065469
MGP_BALBcJ_G0038760	ENSMUSG00000089119
MGP_BALBcJ_G0021187	ENSMUSG00000093825
MGP_BALBcJ_G0026141	ENSMUSG00000027220
MGP_BALBcJ_G0015955	ENSMUSG00000026098
MGP_BALBcJ_G0005524	ENSMUSG00000097997
MGP_BALBcJ_G0030281	ENSMUSG00000029554
MGP_BALBcJ_G0024953	ENSMUSG00000058624
MGP_BALBcJ_G0023028	ENSMUSG00000022949
MGP_BALBcJ_G0036043	
MGP_BALBcJ_G0034203	ENSMUSG00000014444
MGP_BALBcJ_G0031311	ENSMUSG00000030364
MGP_BALBcJ_G0023828	ENSMUSG00000051682
MGP_BALBcJ_G0033909	ENSMUSG00000031737
MGP_BALBcJ_G0003837	
MGP_BALBcJ_G0002513	ENSMUSG00000096600
MGP_BALBcJ_G0008525	ENSMUSG00000099184
MGP_BALBcJ_G0023115	ENSMUSG00000040966
MGP_BALBcJ_G0006525	ENSMUSG00000085368
MGP_BALBcJ_G0017473	ENSMUSG00000004937
MGP_BALBcJ_G0005044	ENSMUSG00000103644
MGP_BALBcJ_G0013757	
MGP_BALBcJ_G0012618	
MGP_BALBcJ_G0039133	ENSMUSG00000095971
MGP_BALBcJ_G0025063	ENSMUSG00000024992
MGP_BALBcJ_G0036916	ENSMUSG00000085206
MGP_BALBcJ_G0020364	ENSMUSG00000038462
MGP_BALBcJ_G0003434	
MGP_BALBcJ_G0027916	ENSMUSG00000028271
MGP_BALBcJ_G0002783	
MGP_BALBcJ_G0039529	ENSMUSG00000077208
MGP_BALBcJ_G0024417	ENSMUSG00000024597
MGP_BALBcJ_G0008285	ENSMUSG00000093202
MGP_BALBcJ_G0024655	ENSMUSG00000056481
MGP_BALBcJ_G0009597	ENSMUSG00000098312
MGP_BALBcJ_G0000178	
MGP_BALBcJ_G0011616	
MGP_BALBcJ_G0005257	ENSMUSG00000078706
MGP_BALBcJ_G0003950	
MGP_BALBcJ_G0038029	ENSMUSG00000088643
MGP_BALBcJ_G0006513	ENSMUSG00000086960
MGP_BALBcJ_G0004149	
MGP_BALBcJ_G0034417	ENSMUSG00000096472
MGP_BALBcJ_G0018112	ENSMUSG00000020415
MGP_BALBcJ_G0004570	
MGP_BALBcJ_G0018051	ENSMUSG00000020458
MGP_BALBcJ_G0007940	ENSMUSG00000070080
MGP_BALBcJ_G0005148	ENSMUSG00000085979
MGP_BALBcJ_G0025360	ENSMUSG00000026679
MGP_BALBcJ_G0003481	
MGP_BALBcJ_G0019398	ENSMUSG00000017718
MGP_BALBcJ_G0013412	
MGP_BALBcJ_G0008570	ENSMUSG00000092833
MGP_BALBcJ_G0015646	
MGP_BALBcJ_G0000466	
MGP_BALBcJ_G0022923	ENSMUSG00000032940
MGP_BALBcJ_G0037708	ENSMUSG00000065127
MGP_BALBcJ_G0020721	ENSMUSG00000021585
MGP_BALBcJ_G0039254	ENSMUSG00000089491
MGP_BALBcJ_G0005293	ENSMUSG00000086306
MGP_BALBcJ_G0006304	ENSMUSG00000105923
MGP_BALBcJ_G0029315	ENSMUSG00000028978
MGP_BALBcJ_G0025245	ENSMUSG00000025086
MGP_BALBcJ_G0020451	ENSMUSG00000021371
MGP_BALBcJ_G0013293	
MGP_BALBcJ_G0010988	
MGP_BALBcJ_G0005670	ENSMUSG00000097732
MGP_BALBcJ_G0039155	ENSMUSG00000089349
MGP_BALBcJ_G0022016	ENSMUSG00000018008
MGP_BALBcJ_G0005996	ENSMUSG00000085504
MGP_BALBcJ_G0027744	ENSMUSG00000068749
MGP_BALBcJ_G0031295	ENSMUSG00000030351
MGP_BALBcJ_G0007209	
MGP_BALBcJ_G0019686	ENSMUSG00000021023
MGP_BALBcJ_G0016956	ENSMUSG00000019814
MGP_BALBcJ_G0015184	ENSMUSG00000043145
MGP_BALBcJ_G0002667	
MGP_BALBcJ_G0027720	ENSMUSG00000027895
MGP_BALBcJ_G0004546	
MGP_BALBcJ_G0003229	
MGP_BALBcJ_G0016133	ENSMUSG00000026235
MGP_BALBcJ_G0018678	ENSMUSG00000010392
MGP_BALBcJ_G0038802	ENSMUSG00000088740
MGP_BALBcJ_G0009579	ENSMUSG00000098298
MGP_BALBcJ_G0001838	
MGP_BALBcJ_G0018623	ENSMUSG00000043692
MGP_BALBcJ_G0002447	ENSMUSG00000076919
MGP_BALBcJ_G0035529	ENSMUSG00000048994
MGP_BALBcJ_G0021484	ENSMUSG00000098773
MGP_BALBcJ_G0026014	ENSMUSG00000075137
MGP_BALBcJ_G0038920	ENSMUSG00000064844
MGP_BALBcJ_G0023151	ENSMUSG00000045551
MGP_BALBcJ_G0022904	ENSMUSG00000050312
MGP_BALBcJ_G0039702	
MGP_BALBcJ_G0000921	
MGP_BALBcJ_G0006343	ENSMUSG00000085394
MGP_BALBcJ_G0037920	ENSMUSG00000088179
MGP_BALBcJ_G0018887	ENSMUSG00000020857
MGP_BALBcJ_G0004779	ENSMUSG00000060424
MGP_BALBcJ_G0029682	ENSMUSG00000029288
MGP_BALBcJ_G0001656	
MGP_BALBcJ_G0022707	ENSMUSG00000035699
MGP_BALBcJ_G0014462	
MGP_BALBcJ_G0002633	
MGP_BALBcJ_G0003857	
MGP_BALBcJ_G0002694	
MGP_BALBcJ_G0038986	ENSMUSG00000089272
MGP_BALBcJ_G0001447	
MGP_BALBcJ_G0005530	ENSMUSG00000098784
MGP_BALBcJ_G0031838	ENSMUSG00000003378
MGP_BALBcJ_G0024463	ENSMUSG00000024581
MGP_BALBcJ_G0026258	ENSMUSG00000027134
MGP_BALBcJ_G0003539	
MGP_BALBcJ_G0025585	ENSMUSG00000075405
MGP_BALBcJ_G0037471	ENSMUSG00000088160
MGP_BALBcJ_G0034232	ENSMUSG00000040220
MGP_BALBcJ_G0016343	ENSMUSG00000036962
MGP_BALBcJ_G0008316	ENSMUSG00000077931
MGP_BALBcJ_G0011515	
MGP_BALBcJ_G0000465	
MGP_BALBcJ_G0022284	ENSMUSG00000023484
MGP_BALBcJ_G0039568	ENSMUSG00000088530
MGP_BALBcJ_G0000662	
MGP_BALBcJ_G0024661	ENSMUSG00000024855
MGP_BALBcJ_G0014158	
MGP_BALBcJ_G0034547	ENSMUSG00000066748
MGP_BALBcJ_G0011851	
MGP_BALBcJ_G0012114	
MGP_BALBcJ_G0032942	ENSMUSG00000030866
MGP_BALBcJ_G0030688	ENSMUSG00000047867
MGP_BALBcJ_G0021367	ENSMUSG00000089840
MGP_BALBcJ_G0012540	
MGP_BALBcJ_G0006748	ENSMUSG00000106909
MGP_BALBcJ_G0035790	ENSMUSG00000031389
MGP_BALBcJ_G0035652	ENSMUSG00000046615
MGP_BALBcJ_G0035530	ENSMUSG00000054453
MGP_BALBcJ_G0012509	
MGP_BALBcJ_G0026076	ENSMUSG00000075081
MGP_BALBcJ_G0035247	ENSMUSG00000032936
MGP_BALBcJ_G0040278	
MGP_BALBcJ_G0039556	ENSMUSG00000065110
MGP_BALBcJ_G0013958	
MGP_BALBcJ_G0038907	ENSMUSG00000065649
MGP_BALBcJ_G0035126	ENSMUSG00000032456
MGP_BALBcJ_G0008302	ENSMUSG00000084600
MGP_BALBcJ_G0040035	
MGP_BALBcJ_G0011340	
MGP_BALBcJ_G0020843	ENSMUSG00000069089
MGP_BALBcJ_G0011599	
MGP_BALBcJ_G0036129	ENSMUSG00000041700
MGP_BALBcJ_G0002801	
MGP_BALBcJ_G0031959	ENSMUSG00000031493
MGP_BALBcJ_G0031892	ENSMUSG00000089832
MGP_BALBcJ_G0005556	
MGP_BALBcJ_G0032949	ENSMUSG00000030766
MGP_BALBcJ_G0008660	ENSMUSG00000065552
MGP_BALBcJ_G0023624	ENSMUSG00000038500
MGP_BALBcJ_G0019640	ENSMUSG00000050103
MGP_BALBcJ_G0004259	
MGP_BALBcJ_G0001412	
MGP_BALBcJ_G0035757	ENSMUSG00000073130
MGP_BALBcJ_G0017143	ENSMUSG00000019849
MGP_BALBcJ_G0013026	
MGP_BALBcJ_G0030297	ENSMUSG00000039623
MGP_BALBcJ_G0008402	ENSMUSG00000098363
MGP_BALBcJ_G0001165	
MGP_BALBcJ_G0009502	ENSMUSG00000099112
MGP_BALBcJ_G0015421	ENSMUSG00000086638
MGP_BALBcJ_G0001906	
MGP_BALBcJ_G0032970	ENSMUSG00000073838
MGP_BALBcJ_G0030729	ENSMUSG00000000938
MGP_BALBcJ_G0037196	ENSMUSG00000064845
MGP_BALBcJ_G0021782	ENSMUSG00000037386
MGP_BALBcJ_G0031306	ENSMUSG00000030359
MGP_BALBcJ_G0000420	
MGP_BALBcJ_G0007760	ENSMUSG00000099015
MGP_BALBcJ_G0018100	ENSMUSG00000018849
MGP_BALBcJ_G0015389	ENSMUSG00000086454
MGP_BALBcJ_G0026791	ENSMUSG00000017858
MGP_BALBcJ_G0014388	
MGP_BALBcJ_G0004569	
MGP_BALBcJ_G0017515	ENSMUSG00000062931
MGP_BALBcJ_G0030693	ENSMUSG00000039264
MGP_BALBcJ_G0024863	ENSMUSG00000067545
MGP_BALBcJ_G0005992	ENSMUSG00000084762
MGP_BALBcJ_G0026747	ENSMUSG00000027634
MGP_BALBcJ_G0022829	ENSMUSG00000067716
MGP_BALBcJ_G0021643	ENSMUSG00000000197
MGP_BALBcJ_G0011372	
MGP_BALBcJ_G0031477	ENSMUSG00000040163
MGP_BALBcJ_G0019127	ENSMUSG00000017167
MGP_BALBcJ_G0014791	
MGP_BALBcJ_G0022761	ENSMUSG00000034243
MGP_BALBcJ_G0018922	ENSMUSG00000038893
MGP_BALBcJ_G0012806	
MGP_BALBcJ_G0037213	ENSMUSG00000095305
MGP_BALBcJ_G0024509	ENSMUSG00000044906
MGP_BALBcJ_G0020511	ENSMUSG00000021468
MGP_BALBcJ_G0031253	ENSMUSG00000023274
MGP_BALBcJ_G0014345	
MGP_BALBcJ_G0026101	ENSMUSG00000008200
MGP_BALBcJ_G0033910	ENSMUSG00000031738
MGP_BALBcJ_G0012099	
MGP_BALBcJ_G0040399	
MGP_BALBcJ_G0012815	
MGP_BALBcJ_G0008451	ENSMUSG00000080504
MGP_BALBcJ_G0014729	
MGP_BALBcJ_G0004780	ENSMUSG00000099784
MGP_BALBcJ_G0019519	ENSMUSG00000037336
MGP_BALBcJ_G0009449	ENSMUSG00000088112
MGP_BALBcJ_G0009449	ENSMUSG00000088470
MGP_BALBcJ_G0031063	ENSMUSG00000072875
MGP_BALBcJ_G0002521	ENSMUSG00000076858
MGP_BALBcJ_G0037737	ENSMUSG00000098578
MGP_BALBcJ_G0008530	ENSMUSG00000065500
MGP_BALBcJ_G0038003	ENSMUSG00000077347
MGP_BALBcJ_G0015325	ENSMUSG00000092182
MGP_BALBcJ_G0006506	ENSMUSG00000101493
MGP_BALBcJ_G0028419	ENSMUSG00000054351
MGP_BALBcJ_G0009376	ENSMUSG00000087774
MGP_BALBcJ_G0003871	
MGP_BALBcJ_G0021618	ENSMUSG00000042156
MGP_BALBcJ_G0004300	
MGP_BALBcJ_G0012809	
MGP_BALBcJ_G0030232	ENSMUSG00000079156
MGP_BALBcJ_G0011052	
MGP_BALBcJ_G0005084	ENSMUSG00000093568
MGP_BALBcJ_G0004040	
MGP_BALBcJ_G0015814	ENSMUSG00000025934
MGP_BALBcJ_G0011129	
MGP_BALBcJ_G0002543	ENSMUSG00000076471
MGP_BALBcJ_G0038246	ENSMUSG00000077666
MGP_BALBcJ_G0027925	ENSMUSG00000068547
MGP_BALBcJ_G0017733	ENSMUSG00000020102
MGP_BALBcJ_G0018557	ENSMUSG00000020817
MGP_BALBcJ_G0010684	
MGP_BALBcJ_G0030338	ENSMUSG00000045482
MGP_BALBcJ_G0027102	ENSMUSG00000037643
MGP_BALBcJ_G0007771	ENSMUSG00000098942
MGP_BALBcJ_G0004940	ENSMUSG00000104414
MGP_BALBcJ_G0028690	ENSMUSG00000052135
MGP_BALBcJ_G0012697	
MGP_BALBcJ_G0016387	ENSMUSG00000026420
MGP_BALBcJ_G0036220	ENSMUSG00000031382
MGP_BALBcJ_G0032992	ENSMUSG00000030689
MGP_BALBcJ_G0015599	ENSMUSG00000108520
MGP_BALBcJ_G0003717	
